,Date,URL,User,R+L,Retweets,Likes
0,2020-02-20 00:59:49,https://twitter.com/minyoruminyon/status/1230160064696111104,shishimy,1.0,0.0,1.0
1,2020-02-20 00:08:02,https://twitter.com/minyoruminyon/status/1230147034344087555,shishimy,1.0,0.0,1.0
2,2020-02-17 15:36:19,https://twitter.com/minyoruminyon/status/1229293479659855872,shishimy,0.0,0.0,0.0
3,2020-02-17 07:54:09,https://twitter.com/minyoruminyon/status/1229177173182779392,shishimy,0.0,0.0,0.0
4,2020-02-17 02:18:59,https://twitter.com/minyoruminyon/status/1229092824856981504,shishimy,1.0,0.0,1.0
5,2020-02-17 02:09:18,https://twitter.com/minyoruminyon/status/1229090387186184192,shishimy,1.0,0.0,1.0
6,2020-02-17 01:53:18,https://twitter.com/minyoruminyon/status/1229086362105548800,shishimy,0.0,0.0,0.0
7,2020-02-13 21:47:58,https://twitter.com/minyoruminyon/status/1227937457196240896,shishimy,0.0,0.0,0.0
8,2020-02-13 06:28:23,https://twitter.com/minyoruminyon/status/1227706036720553984,shishimy,0.0,0.0,0.0
9,2020-02-13 06:26:36,https://twitter.com/minyoruminyon/status/1227705586822852609,shishimy,0.0,0.0,0.0
10,2020-02-13 06:23:18,https://twitter.com/minyoruminyon/status/1227704755880898567,shishimy,2.0,0.0,2.0
11,2020-02-12 04:33:13,https://twitter.com/minyoruminyon/status/1227314667934093314,shishimy,0.0,0.0,0.0
12,2020-02-12 04:09:43,https://twitter.com/minyoruminyon/status/1227308753021739009,shishimy,4.0,1.0,3.0
13,2020-02-12 04:05:44,https://twitter.com/minyoruminyon/status/1227307751107448833,shishimy,0.0,0.0,0.0
14,2020-02-08 23:07:25,https://twitter.com/minyoruminyon/status/1226145510597115904,shishimy,0.0,0.0,0.0
15,2020-02-01 00:58:08,https://twitter.com/minyoruminyon/status/1223274273818599432,shishimy,0.0,0.0,0.0
16,2020-01-28 12:03:14,https://twitter.com/minyoruminyon/status/1221992096862629888,shishimy,19.0,7.0,12.0
17,2020-01-26 19:25:22,https://twitter.com/minyoruminyon/status/1221378587778899968,shishimy,3.0,0.0,3.0
18,2020-01-25 21:20:33,https://twitter.com/minyoruminyon/status/1221045188971253761,shishimy,10.0,4.0,6.0
19,2020-01-25 17:09:36,https://twitter.com/minyoruminyon/status/1220982033465274369,shishimy,4.0,0.0,4.0
20,2020-01-24 18:14:28,https://twitter.com/minyoruminyon/status/1220635970728386561,shishimy,5.0,2.0,3.0
21,2020-01-15 20:46:57,https://twitter.com/minyoruminyon/status/1217412855852494848,shishimy,0.0,0.0,0.0
22,2020-01-14 17:59:20,https://twitter.com/minyoruminyon/status/1217008284739072002,shishimy,0.0,0.0,0.0
23,2020-01-08 20:47:21,https://twitter.com/minyoruminyon/status/1214876238398947328,shishimy,0.0,0.0,0.0
24,2020-01-03 14:05:17,https://twitter.com/minyoruminyon/status/1212963117652529154,shishimy,1.0,0.0,1.0
25,2019-12-25 22:15:43,https://twitter.com/minyoruminyon/status/1209825048602656768,shishimy,0.0,0.0,0.0
26,2019-12-24 22:42:10,https://twitter.com/minyoruminyon/status/1209469318091591681,shishimy,6.0,1.0,5.0
27,2019-12-24 05:59:43,https://twitter.com/minyoruminyon/status/1209217041124581377,shishimy,0.0,0.0,0.0
28,2019-12-24 05:34:03,https://twitter.com/minyoruminyon/status/1209210583007936512,shishimy,0.0,0.0,0.0
29,2019-12-24 05:20:13,https://twitter.com/minyoruminyon/status/1209207102784196608,shishimy,0.0,0.0,0.0
30,2019-12-20 05:52:34,https://twitter.com/minyoruminyon/status/1207765690523893760,shishimy,0.0,0.0,0.0
31,2019-12-20 05:36:36,https://twitter.com/minyoruminyon/status/1207761673274019840,shishimy,1.0,0.0,1.0
32,2019-12-17 14:37:58,https://twitter.com/minyoruminyon/status/1206810746304090112,shishimy,0.0,0.0,0.0
33,2019-12-15 23:28:03,https://twitter.com/minyoruminyon/status/1206219371808346112,shishimy,0.0,0.0,0.0
34,2019-12-10 19:53:35,https://twitter.com/minyoruminyon/status/1204353462571544576,shishimy,2.0,1.0,1.0
35,2019-12-10 19:38:15,https://twitter.com/minyoruminyon/status/1204349603560058880,shishimy,1.0,0.0,1.0
36,2019-12-04 01:30:39,https://twitter.com/minyoruminyon/status/1201901572562677760,shishimy,0.0,0.0,0.0
37,2019-12-03 20:03:01,https://twitter.com/minyoruminyon/status/1201819121102422017,shishimy,1.0,0.0,1.0
38,2019-11-28 21:52:49,https://twitter.com/minyoruminyon/status/1200034811311575040,shishimy,0.0,0.0,0.0
39,2019-11-28 17:32:45,https://twitter.com/minyoruminyon/status/1199969364289605634,shishimy,0.0,0.0,0.0
40,2019-11-24 11:58:10,https://twitter.com/minyoruminyon/status/1198435610400178176,shishimy,4.0,2.0,2.0
41,2019-11-10 19:12:22,https://twitter.com/minyoruminyon/status/1193471453649178624,shishimy,1.0,1.0,0.0
42,2019-11-05 12:11:32,https://twitter.com/minyoruminyon/status/1191553605980999680,shishimy,3.0,0.0,3.0
43,2019-11-03 21:05:02,https://twitter.com/minyoruminyon/status/1190963091363618816,shishimy,0.0,0.0,0.0
44,2019-11-02 06:11:27,https://twitter.com/minyoruminyon/status/1190375827189293057,shishimy,1.0,0.0,1.0
45,2019-10-20 14:05:03,https://twitter.com/minyoruminyon/status/1185783970211909633,shishimy,1.0,0.0,1.0
46,2019-10-20 14:02:23,https://twitter.com/minyoruminyon/status/1185783297160253440,shishimy,0.0,0.0,0.0
47,2019-10-17 03:00:39,https://twitter.com/minyoruminyon/status/1184529601357332483,shishimy,2.0,0.0,2.0
48,2019-10-16 06:52:32,https://twitter.com/minyoruminyon/status/1184225568880902145,shishimy,1.0,0.0,1.0
49,2019-10-10 15:38:59,https://twitter.com/minyoruminyon/status/1182183729785008128,shishimy,2.0,0.0,2.0
50,2019-10-10 15:36:39,https://twitter.com/minyoruminyon/status/1182183143240945664,shishimy,0.0,0.0,0.0
51,2019-10-09 00:53:50,https://twitter.com/minyoruminyon/status/1181598585328001024,shishimy,0.0,0.0,0.0
52,2019-10-09 00:52:41,https://twitter.com/minyoruminyon/status/1181598294176231425,shishimy,1.0,0.0,1.0
53,2019-10-08 16:04:06,https://twitter.com/minyoruminyon/status/1181465272084914177,shishimy,1.0,0.0,1.0
54,2019-10-07 19:16:13,https://twitter.com/minyoruminyon/status/1181151232817168384,shishimy,1.0,0.0,1.0
55,2019-10-04 17:15:23,https://twitter.com/minyoruminyon/status/1180033661648789504,shishimy,2.0,1.0,1.0
56,2019-10-04 17:13:22,https://twitter.com/minyoruminyon/status/1180033154016350209,shishimy,1.0,0.0,1.0
57,2019-09-30 22:15:03,https://twitter.com/minyoruminyon/status/1178659522534989824,shishimy,2.0,1.0,1.0
