,Date,URL,User,R+L,Retweets,Likes
0,2019-06-28 15:09:35,https://twitter.com/minyoruminyon/status/1144487993165541376,Ore_Not_0zone,2.0,0.0,2.0
1,2019-06-28 12:04:38,https://twitter.com/minyoruminyon/status/1144441446390304768,Ore_Not_0zone,1.0,0.0,1.0
2,2019-06-25 09:37:53,https://twitter.com/minyoruminyon/status/1143317354471759872,Ore_Not_0zone,2.0,1.0,1.0
3,2019-06-19 14:31:49,https://twitter.com/minyoruminyon/status/1141216997272801280,Ore_Not_0zone,1.0,0.0,1.0
4,2019-06-04 23:50:06,https://twitter.com/minyoruminyon/status/1135921675885633536,Ore_Not_0zone,1.0,0.0,1.0
5,2019-05-30 13:07:03,https://twitter.com/minyoruminyon/status/1133947907898392576,Ore_Not_0zone,0.0,0.0,0.0
6,2019-05-30 11:23:57,https://twitter.com/minyoruminyon/status/1133921961891917824,Ore_Not_0zone,2.0,0.0,2.0
7,2019-05-29 14:38:34,https://twitter.com/minyoruminyon/status/1133608549370564608,Ore_Not_0zone,0.0,0.0,0.0
8,2019-05-27 10:18:42,https://twitter.com/minyoruminyon/status/1132818376491917312,Ore_Not_0zone,2.0,0.0,2.0
9,2019-05-24 10:58:47,https://twitter.com/minyoruminyon/status/1131741299902599168,Ore_Not_0zone,4.0,2.0,2.0
10,2019-05-21 19:41:02,https://twitter.com/minyoruminyon/status/1130785566742654979,Ore_Not_0zone,1.0,0.0,1.0
11,2019-05-18 14:44:30,https://twitter.com/minyoruminyon/status/1129623776545476609,Ore_Not_0zone,5.0,3.0,2.0
