Rank,User,Count
1,jiro_saburomaru,5961
2,ryuichiueda,4531
3,blacknon_,3137
4,yami_buta,3032
5,qwertanus,2465
6,egpl0,2093
7,grethlen,1172
8,QiToYtkg,1171
9,eban,870
10,ytkmns,856
11,shishimy,693
12,kazuki_199778,576
13,CareleSmith9,518
14,RandomWeekday,515
15,kino___ma,502
16,nogiro_iota,494
17,xztaityozx_001,417
18,nullpopopo,402
19,knrotze,398
20,P5mEm,355
21,kuruppo_poppo_,333
22,yukito_2828,319
23,amanoese,313
24,3socha,296
25,kanata201612,281
26,rs_pferd,267
27,Sheeeeepla,259
28,teruteru128,249
29,SR24TozukaAngyo,241
30,kunst1080,217
31,papiron,210
32,yasu1988taka,210
32,cheese_rulez,210
32,quon_rst,209
33,obknt,190
34,ega_wave,187
35,tacmasi,187
35,binununn,184
36,theoremoon,183
37,satoh_fumiyasu,181
38,theoldmoon0602,172
39,uluvtu,171
40,mazotive,171
40,duck_yasuhiroki,170
41,t2saras,168
42,venom_d_3,166
43,math_nobase,164
44,t_motooka,156
45,stepney141,153
46,Bikenekosuke,152
47,hako_bey,151
48,_toku_san,146
49,Carol_815,145
50,midokokemaru,143
51,Ag4O4,140
52,sesameoil_pro,139
53,systemctl_ryoto,138
54,horagainantou,138
54,dkrqr,137
55,ooishi_dog,136
56,rabdology,135
57,w00tbeef,128
58,hamukichi_nbr,127
59,kotatsugame_t,126
60,127anz,123
61,fujifog,120
62,kotone_nyt,117
63,neunetneucom,115
64,1inguini,111
65,cyberrex0,111
65,mutz0623,103
66,kKanai_,102
67,Logi024tec,102
67,mat_der_D,101
68,hiro_poke91,100
69,Esqrt2,98
70,takion0,98
70,butackle66,98
70,obknnt,93
71,4ourzer0ei8ht,89
72,palomax69,88
73,thb_w,88
73,izumi_reon,86
74,toby_net,85
75,egpl0_sh_2,85
75,36kyo,84
76,rsk0315_h4x,82
77,0mrg,82
77,M_1KU,81
78,hisoAs_,81
78,Mikanixonable,80
79,stmtk_yu,79
80,donnay1224,77
81,dainivolunteer,76
82,71aa55,76
82,koala0024,75
83,Rabdology,73
84,QmanEnobikto,71
85,man_2_fork,71
85,akira39,71
85,nros_utq,71
85,M_4_N_D,71
